X_id,OTHER INJ,NO INJURIES,INJURIES UNK,BLINDNESS,VIS_DISTURB,PAIN
5d2de0d02834ae4512fd68a7,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee47f,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee47e,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee43d,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee421,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee47d,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee420,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee441,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee445,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee440,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee480,      ,NO INJURIES,,   ,     ,       
5d2de1612834ae4512fee448,      ,NO INJURIES,,   ,     ,       
5d2de1622834ae4512fee848,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee9d7,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512feea92,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeb43,      ,,,   ,     ,       
5d2de1632834ae4512fee93a,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee993,      ,NO INJURIES,,   ,     ,       
5d2de1622834ae4512fee873,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512feea2e,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee971,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee972,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeac9,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeb4d,      ,,,   ,     ,       
5d2de1632834ae4512fee9b6,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeb51,      ,,,   ,     ,       
5d2de1642834ae4512feeac1,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee902,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeb45,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee968,      ,NO INJURIES,,   ,     ,       
5d2de1632834ae4512fee8ac,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeaf9,      ,NO INJURIES,,   ,     ,       
5d2de1642834ae4512feeca4,      ,,,   ,     ,       
5d2de1642834ae4512feedd7,      ,NO INJURIES,,   ,     ,       
5d2de1652834ae4512feef36,      ,NO INJURIES,,   ,     ,       
